x,y
428,303
29,1903
1542,847
1009,32
674,874
2083,533
1766,798
1639,110
1059,829
1522,451
1614,346
786,1212
749,824
2208,438
925,1104
702,785
1706,738
1312,722
959,545
608,1464
764,1044
702,1239
1785,506
2005,327
522,935
1452,1024
1392,293
1710,1220
1934,1035
1631,882
1877,1349
1222,620
465,354
668,689
2064,661
847,813
1296,889
1990,497
1936,532
1883,1264
661,1403
1693,1816
1782,389
347,1138
389,178
1300,772
1051,979
1148,982
52,1460
315,859
369,671
107,460
1094,434
685,633
104,1236
1905,695
604,1044
1718,440
1506,1082
1392,867
508,494
772,656
1548,1116
667,300
806,1270
626,621
1967,288
249,810
1326,401
1359,729
1973,979
1224,1154
935,1109
869,1154
626,68
1207,1005
1201,294
996,732
86,369
503,1573
407,1151
1400,736
1017,770
956,1253
1036,1580
1474,542
1369,585
445,495
827,1204
1183,795
1667,586
1636,781
1641,1010
1031,1134
1028,877
1570,1071
1265,360
1051,429
729,622
1587,806
1457,688
1934,433
327,284
1409,987
1626,1405
1667,714
2321,413
539,141
1089,797
1773,731
1117,1101
299,1167
1776,634
1540,1262
1264,1106
1072,1059
1629,42
1101,1193
1880,884
1266,1223
1189,1617
1222,1288
1536,1171
685,130
1100,1326
340,221
2107,224
294,901
804,699
1400,1262
1318,355
1162,869
181,168
1467,299
1389,830
2032,522
1066,1224
1562,908
1377,1534
1276,49
898,1003
582,441
1032,289
1002,1637
1333,468
1099,722
962,400
402,233
942,449
329,197
2032,867
700,438
1614,980
499,897
1007,999
1671,438
1902,751
1426,1237
1196,735
782,973
752,753
1619,462
420,1305
717,556
656,748
407,659
1445,490
1250,577
1349,1030
1540,734
573,1171
695,586
1906,945
612,754
610,1180
323,969
1500,1431
1470,648
1468,452
1976,14
1016,524
1726,521
1355,1172
738,532
1883,418
1839,1187
1027,596
1844,667
2159,1000
1587,314
758,580
1364,1107
2113,1062
1996,50
1469,826
795,667
1341,762
444,895
1151,1079
658,1115
1303,1290
1321,1200
863,929
591,1253
1792,325
1237,1124
250,499
137,816
648,1701
246,694
1625,741
1222,1818
366,139
1264,987
721,7
1347,1133
358,242
1206,562
1183,441
1262,286
1466,417
1762,1148
655,643
1356,517
1995,436
109,507
2045,698
1734,1298
924,81
883,550
1520,558
1624,311
856,596
1789,1112
1198,383
784,719
424,78
660,322
562,490
228,1464
890,1400
945,776
1282,66
1872,614
1443,839
548,630
2204,104
800,52
833,106
18,229
1268,853
585,547
1600,1482
1445,329
529,864
1044,740
80,1247
130,874
1459,90
1474,115
1083,669
1693,368
543,449
166,263
577,104
1069,625
886,1187
59,201
1527,766
516,1216
2326,602
1768,909
217,812
1351,367
939,1402
2129,1141
920,1462
191,880
2346,848
1433,1428
73,298
1231,409
49,621
287,800
1583,420
210,447
1745,109
1700,125
1028,488
1459,1240
1903,335
939,750
411,140
918,372
660,408
685,465
2020,71
2462,52
1656,1090
1287,1028
4,1570
1968,670
1783,1291
692,346
1459,910
1159,514
882,698
28,1161
1261,804
195,1008
2132,394
709,932
844,620
666,1087
1223,819
1193,472
1835,566
1688,796
1674,414
498,1302
902,571
157,914
453,1002
1838,451
239,553
1270,1024
757,912
1415,1311
982,950
825,854
1521,817
310,734
1015,1321
1180,527
1924,813
1254,1634
531,746
1810,685
589,981
1329,1075
735,358
1687,98
332,616
1381,489
1380,1064
1556,1039
1695,1419
851,1619
2082,551
1050,1391
1017,381
1151,366
1756,9
2283,527
2269,42
2171,307
786,323
1385,518
1559,1314
1174,945
1689,487
482,842
1574,943
1112,834
1351,661
1597,1188
261,258
903,660
1974,361
735,1665
1716,1697
154,553
223,68
1552,346
1621,928
1938,877
1956,1203
685,1537
2345,83
1161,612
1666,556
1484,765
1417,848
952,353
1067,909
783,295
382,563
195,828
1930,744
1744,1188
2100,687
504,984
550,1331
526,775
2279,336
123,259
977,812
1835,745
690,520
1369,798
424,162
613,397
1499,687
1935,626
2385,734
504,1036
1025,680
1711,1060
576,64
1427,671
2375,867
476,988
1738,1512
1107,1674
2265,439
906,1097
453,1638
266,779
2346,651
202,917
268,550
23,932
1265,1654
1016,328
204,610
673,952
143,119
1251,884
1855,797
247,1254
1829,375
1540,619
2079,613
1692,1595
560,552
2028,1199
1763,150
2142,452
1222,114
1147,1108
849,447
1117,969
675,105
2270,196
29,496
1595,625
738,1598
263,604
698,886
2185,556
1116,1433
178,772
1864,859
1711,783
484,175
986,1679
1290,1598
1972,233
421,755
361,943
1288,466
1345,46
148,696
2032,1054
2056,256
775,553
1425,800
313,995
522,970
691,1000
1861,165
1430,1496
1718,1461
267,419
599,729
1138,951
373,1399
1556,1543
1665,1859
312,591
863,678
804,1474
354,737
733,683
1951,1345
2068,33
1115,567
1112,665
967,593
868,309
1699,402
2228,726
779,1161
1159,1493
795,903
1111,1076
924,338
803,538
1243,527
1840,1291
1493,1377
241,1210
926,1612
991,665
1360,894
2114,890
1487,1152
681,382
554,1425
2087,1130
2274,1177
233,317
54,568
891,1348
1414,1361
1792,158
1289,980
1381,1326
256,467
1563,304
223,638
695,675
1910,1036
298,458
531,370
1587,1144
1757,1376
2499,402
633,671
1693,967
2329,1223
1930,377
913,743
1514,1477
1796,77
568,775
2068,1502
1391,698
266,971
357,1237
183,96
1254,307
1911,356
1036,1275
731,1450
1948,1584
615,671
2014,781
391,724
1605,681
1911,526
918,1422
730,383
1425,94
452,841
768,700
703,973
892,417
591,941
577,1559
327,1583
243,770
838,1078
1543,849
422,1452
684,717
1631,1679
2300,830
587,1073
260,1282
726,1110
272,365
647,343
2178,523
987,365
105,578
948,899
1210,1456
1056,1704
1849,818
521,1384
269,326
1206,946
1125,597
1626,382
155,1041
1741,59
564,677
947,658
1002,494
686,1068
2060,1346
2148,351
35,887
832,886
747,609
1062,290
1668,951
667,966
1327,965
1900,29
2070,1035
1027,1591
664,800
967,527
486,1432
2107,84
1487,392
1559,663
2072,1262
1159,691
168,987
918,1319
879,1159
1943,469
403,1479
998,444
1866,761
1602,552
965,97
2152,590
1225,1635
1586,1744
1750,1813
1444,536
1944,590
747,1241
815,1509
1472,365
461,931
819,1669
451,1164
523,395
1726,469
778,1082
1430,1459
1625,1198
316,351
43,514
1744,950
1694,563
620,1215
1654,1191
19,330
2149,739
1144,1653
1949,1730
328,126
617,489
473,1038
467,1096
537,700
705,1198
1559,1070
2152,1140
239,862
1141,627
629,1421
89,1177
1317,1312
470,393
649,1031
1053,1302
2290,1006
2067,1149
975,314
1589,447
1046,1569
336,86
