x,y
562,1276
639,1751
414,420
790,1041
598,437
2194,984
127,1724
1849,929
209,1037
61,742
1723,316
1136,1308
79,1427
1005,1463
478,1414
839,551
716,316
869,101
583,1592
273,1612
1949,112
1938,1762
1859,732
841,909
1415,718
35,1184
2084,910
617,150
73,269
1502,1315
1320,1686
1777,616
2051,1192
2175,785
221,894
2204,55
1567,1532
400,449
361,45
881,1740
387,220
1761,1066
1389,1259
575,1454
728,408
2246,1705
1730,1695
760,1055
497,728
378,1411
1426,1780
1919,312
340,1776
320,679
1418,889
271,779
483,1315
1326,1890
2068,740
2448,94
1929,1736
2022,618
1485,1228
726,1845
917,693
1878,936
188,1009
1237,1617
953,1894
2326,1398
840,1555
826,1022
1326,937
2465,1245
27,1822
1820,921
905,1349
2529,75
2294,1549
231,1065
1949,520
324,1184
590,467
1670,1306
1182,355
1160,551
340,385
740,1375
412,612
2225,979
2060,1862
1416,94
578,1065
1203,917
96,514
1604,167
2130,282
1524,536
93,1320
1037,533
757,794
2143,536
162,1153
2126,1345
2510,361
1141,1122
2484,491
922,914
534,1788
2437,1146
429,107
1598,1377
239,413
1480,1300
1420,322
2323,1231
563,587
2117,899
653,77
1809,525
883,1075
870,1756
1020,1434
1103,357
452,888
2286,146
1319,589
16,1175
1016,904
2049,921
2333,280
285,329
1099,637
2316,902
964,562
270,1590
1841,1749
1109,705
761,15
707,741
2206,1093
2032,1284
171,614
2429,538
410,1855
2284,1631
2093,102
838,523
370,1393
277,1541
1174,1395
1499,363
1728,1396
317,1105
1333,314
446,1707
1967,578
1020,109
317,975
1609,27
304,458
1748,1504
1506,751
1896,1483
1659,421
351,1029
63,707
2256,671
526,836
852,1577
971,202
12,1635
354,1145
2033,1339
1545,1849
1666,1561
1203,1163
997,1266
275,11
485,987
2037,261
2347,142
1754,938
1045,586
2427,1489
237,912
1881,665
463,1321
973,1656
2120,381
2477,755
1531,1336
574,1214
1197,440
856,401
176,316
102,279
1212,1273
968,1532
1900,708
2182,469
1903,253
2509,857
492,1444
48,385
1818,807
81,1461
1046,1137
680,1145
2023,1684
1608,1582
1954,1815
911,170
355,915
783,747
1243,1428
1534,942
884,129
1338,1180
1070,60
1227,293
2267,768
1244,1466
2471,236
899,1714
822,1521
18,1552
1071,809
388,1435
2240,604
1651,1299
2435,373
508,1308
1760,1162
1095,972
784,747
2305,1797
1073,199
200,874
1896,1281
2146,1278
849,314
142,362
419,1030
290,894
2049,1168
1293,979
56,43
1432,99
129,438
660,656
707,1771
1178,1703
360,758
381,1657
1102,1309
905,1250
758,930
971,1906
876,244
1235,229
2500,654
787,634
575,1556
83,119
823,1232
1884,1184
887,450
1627,722
924,936
2502,948
342,1819
753,218
1552,877
1164,1620
365,323
433,359
126,1506
1386,1556
1330,785
151,1350
1290,94
1695,1314
2167,125
2329,770
2075,1651
2004,630
2215,952
2483,38
1172,1039
1675,1769
1723,1600
1526,10
1266,734
953,756
777,1868
166,1430
322,595
1293,1458
1859,1442
1992,1412
1403,689
2181,680
1623,783
252,714
1383,600
1743,279
640,1179
312,445
9,148
561,9
919,885
73,1753
2084,1019
716,438
1833,1734
329,1553
945,1223
222,1591
1270,1310
1918,1519
2044,1910
1372,1227
295,470
2298,473
407,1912
1084,1101
1845,10
710,1508
669,1713
1032,720
8,1363
1533,967
1271,96
657,1370
2241,199
1091,952
2346,1414
843,966
498,867
102,1822
314,951
1273,977
2527,1365
1871,963
2290,5
1819,1911
1285,1305
489,1862
97,1879
1850,1775
16,1913
1283,736
1746,963
388,1602
1694,234
