x,y
906,530
301,1020
517,779
1173,434
1879,1066
1681,382
29,155
1246,252
713,314
1768,755
791,1165
1470,1200
448,1506
427,884
2211,1084
562,334
815,1663
877,1302
1410,456
71,1872
227,709
1686,1296
2174,669
196,618
233,1585
1502,1715
2197,602
2208,776
992,276
1555,292
2529,493
1308,176
240,23
2173,414
699,1638
1612,153
543,1801
1929,233
1655,649
101,1104
1913,489
2451,112
557,234
1758,822
935,710
1880,1190
187,1837
1480,431
98,1399
1359,1015
655,66
1727,692
1563,502
1367,1873
180,68
189,1016
916,1126
1096,1048
905,759
383,340
2365,1886
1933,155
1985,64
108,433
1395,1498
2328,1613
1426,368
1981,499
2061,18
1235,499
876,75
698,1567
1620,1246
2158,277
632,1599
1420,1620
1184,534
938,229
628,200
265,504
484,625
2309,293
2412,362
2022,153
1696,1523
1028,179
57,1701
471,996
2381,1126
1304,1207
720,181
1520,1651
641,1783
159,681
1259,662
15,1483
175,282
1787,1589
758,396
756,1253
1921,1845
2124,504
514,1762
623,257
2080,1635
1147,1601
1622,719
1193,1478
476,325
395,1156
425,1858
2031,710
1630,831
2533,1075
697,1021
2214,1842
686,479
1263,1452
34,627
332,47
1737,50
1873,665
2435,788
2074,1532
1194,931
243,164
1110,690
300,880
1035,939
1495,599
1184,693
1789,1353
734,705
2107,205
283,771
587,638
1650,1465
187,410
588,712
1063,119
1337,403
726,547
756,798
1787,667
1962,1629
613,1492
375,1564
332,288
1534,1237
911,1219
106,14
1344,1627
1788,237
365,1434
2109,1347
65,589
2043,1164
2542,686
1033,488
1532,972
2415,1620
2220,342
1819,913
1497,1286
1851,1638
2266,394
1322,1307
704,1513
568,1476
1111,1881
911,564
1005,1872
1892,806
239,438
581,1242
1002,125
1836,981
913,1388
11,430
1429,1564
938,136
2231,438
2283,984
83,1180
1605,458
1220,605
1679,1398
2038,613
856,1501
756,581
263,1137
533,69
1094,887
151,1352
1678,1116
1804,1133
507,1721
1426,927
2300,936
869,535
1337,314
727,942
383,529
2079,943
912,1539
1099,801
214,91
951,843
1588,1760
1166,1418
106,49
753,1165
9,118
1424,1123
1967,376
681,1415
788,1552
646,738
10,879
1061,1724
1317,1857
809,340
830,401
1803,1748
1407,98
7,1303
2121,570
1120,1830
913,1158
2123,1287
223,944
1321,1424
1573,1354
1000,624
1694,1850
601,399
1063,1302
885,1653
270,1633
1293,248
1408,1697
1226,1649
1831,433
1249,981
1883,1141
1504,1435
2265,723
1561,1786
2103,1594
846,1266
521,1373
1289,663
1537,949
785,1646
2450,722
960,1017
862,1793
934,1796
653,1545
1289,1454
640,945
1933,826
1102,1127
124,1572
195,1251
138,763
298,334
2152,1625
2130,1436
1584,1522
1641,86
2547,22
2203,1221
2174,1255
451,1680
2219,42
2272,1266
122,1012
1266,1704
400,912
1606,1632
1011,425
1109,1796
1411,1360
324,216
7,1096
252,279
182,798
1463,1605
249,207
1369,1141
2551,1891
429,1249
1292,438
1092,971
8,1357
732,285
2440,194
7,683
1929,1613
7,1779
550,769
2393,1380
1770,1913
1697,1906
764,1820
1421,1159
6,582
691,742
2271,48
1476,1912
715,1852
223,962
2440,1384
2078,963
2265,1546
2473,1419
