x,y
1113,255
397,302
1517,392
2025,298
1762,1181
712,375
906,12
1949,232
1028,901
559,1426
1353,723
1905,350
2269,1613
1123,23
1262,825
394,1144
1554,521
1303,577
1051,1654
2269,57
1039,413
1111,490
917,1198
1653,215
1196,502
674,670
1395,745
992,1878
1626,540
624,554
1935,810
190,889
1648,1447
621,619
2097,563
2289,707
117,1330
2006,508
1680,1845
978,624
771,837
1309,372
2075,690
1186,1583
819,914
1002,378
1259,302
481,867
1261,620
1344,351
947,600
1719,426
1756,1528
1292,531
1976,1722
478,437
1060,1080
1098,1396
333,1613
974,493
964,823
492,1585
1065,303
690,533
1430,565
251,368
1093,1297
1227,595
382,542
921,844
1462,1435
1719,1420
2064,1080
1448,1240
1957,560
578,1052
1049,758
1414,679
1107,414
2060,518
1314,805
466,1856
297,348
1330,465
301,1015
770,1116
1336,1528
990,333
1758,671
735,1303
1426,533
1726,375
1245,1130
2106,26
1787,1868
525,1151
104,796
1428,1164
450,1390
1787,1019
580,939
1559,228
745,570
1379,550
359,1382
550,1544
2106,148
1939,431
1437,1535
1353,247
1882,797
2064,132
1476,812
481,242
646,510
1460,407
1235,367
1528,697
1649,473
178,445
1799,775
1849,514
805,660
1175,404
723,1174
1070,387
733,709
1302,882
1439,788
1842,448
1526,578
1036,994
1460,288
1689,542
112,240
1231,1290
1106,453
1057,1495
687,568
1335,1124
1604,908
1456,647
1810,522
814,1061
822,329
1147,1441
996,650
2061,1741
185,624
841,535
1461,1335
802,785
1106,1101
1655,341
2397,885
79,1581
1305,707
660,401
2537,1589
1350,1256
2176,1125
272,541
1616,991
1955,1615
926,1447
1568,834
1538,1834
211,460
1220,868
2111,434
1423,1482
519,445
2059,592
876,1244
43,78
1332,679
1187,447
2227,198
1143,420
539,1103
2038,53
1523,1145
1051,859
456,160
218,1105
1131,536
1242,946
390,472
1600,470
2007,1068
784,1364
1964,1345
236,842
1129,599
615,1106
306,117
958,977
92,895
618,892
1782,742
1081,977
1208,1679
1017,615
947,943
1361,837
973,1081
1349,982
1444,1375
26,1615
1131,665
1476,677
1674,442
1154,845
1354,1205
1426,1296
1141,691
1424,445
474,793
797,825
859,537
1934,621
732,977
655,762
2015,1020
1496,531
415,527
760,1048
1375,1055
1481,1361
1957,348
1966,854
818,84
1251,1352
1416,817
1667,298
1589,299
575,576
1447,908
1036,1173
1630,302
681,1197
524,1317
2313,1371
1815,1741
880,1305
959,363
949,1780
969,85
1098,524
1226,448
1473,484
1084,577
1268,902
197,1245
1441,1824
49,307
823,705
1981,721
819,609
1362,1772
1515,436
1305,1131
334,482
367,101
1399,776
991,1318
366,67
2344,463
658,432
771,622
544,697
1589,1073
29,852
2270,300
552,591
1265,975
1295,8
624,1025
775,1732
1151,382
1078,727
1394,526
1752,603
762,921
525,554
55,444
695,1442
1456,238
1165,483
1048,1826
648,828
1463,361
18,111
446,200
436,442
1332,413
603,507
1308,1014
1771,401
442,13
1055,510
973,457
802,581
1344,594
1487,216
1314,1211
64,1286
996,862
714,94
1694,298
2349,993
1495,867
1574,1199
1225,1414
1432,291
1868,737
2024,1695
671,607
372,877
56,346
1169,1658
1244,763
1052,806
1266,540
1837,622
302,539
1203,902
406,170
886,1366
883,349
1061,348
809,1369
1556,264
1801,281
1174,1116
137,1464
1366,1633
85,703
1685,401
1750,171
2168,1546
1190,816
252,221
1095,1627
88,619
1164,335
1430,1211
1145,1419
572,33
983,37
1389,847
1409,1378
875,802
1230,1016
1724,196
1176,21
1270,463
864,1372
1475,512
400,1462
1019,1848
1038,304
832,795
1629,727
1572,754
1541,927
1404,1208
751,1445
666,866
1679,271
1163,648
540,825
1738,291
1066,1318
915,445
1736,830
1685,175
1498,562
1422,866
657,629
1522,1618
1165,526
552,1020
907,1743
1510,740
141,1545
1580,1653
1237,529
1097,1551
1255,1551
518,53
1197,615
1078,825
100,1030
443,810
1511,1037
6,822
58,583
699,785
1491,1207
1712,344
147,914
1386,1898
1294,659
984,1191
1070,1135
1078,329
1078,501
798,1636
1978,1812
867,619
1303,731
620,1554
943,668
996,1036
2429,1613
1434,6
610,482
1678,967
399,230
1312,679
736,1081
1782,1787
2298,452
1814,1545
1238,1890
1900,296
1761,347
1712,304
1687,461
992,1690
2099,387
862,869
1017,1143
296,1555
1249,1649
1241,563
883,385
1238,983
1565,994
550,556
872,426
1180,1349
1902,1354
868,311
199,416
1737,726
1330,613
858,1212
1001,1656
1887,448
1818,585
1378,692
1475,940
188,255
1949,106
12,344
1198,428
110,979
624,982
1479,190
286,914
962,884
843,1168
622,689
883,515
1829,353
1583,681
749,338
1300,345
1976,399
2264,115
1138,1461
1958,1747
981,990
1350,1038
1521,659
324,990
2154,1235
1099,1529
356,210
2167,279
402,127
1129,286
717,1053
1860,428
1796,1615
1634,418
1228,279
355,572
841,673
1505,1423
220,179
2143,1528
467,970
878,965
2335,1425
1372,798
1504,194
1612,253
865,649
915,988
331,330
1683,367
1563,463
1649,1159
1149,609
879,999
611,768
653,1236
1811,460
1947,475
472,1173
1387,1415
654,473
153,851
808,971
910,105
151,672
1522,1291
514,624
263,1095
661,1149
1055,1043
790,1430
981,1430
1245,672
1841,183
1398,458
1322,1043
1458,327
876,1076
2253,996
1153,1842
1681,338
38,483
803,521
915,596
1755,471
151,1010
385,198
282,24
233,662
445,732
1639,665
409,1524
450,100
247,606
592,809
1260,1381
1762,1478
1291,398
571,714
2281,533
1926,1074
1340,1715
342,448
1097,619
1210,1000
1192,1203
1059,584
2084,598
1842,779
1895,980
1620,165
1457,842
2114,1610
1531,1167
1642,1395
377,1134
1259,1159
649,1400
932,1313
1388,1029
2400,1319
1770,1674
353,28
938,3
1225,920
284,282
564,146
131,1107
434,1049
1016,1400
348,296
563,631
355,824
1621,1616
2220,451
1285,973
1481,309
85,451
1575,441
580,678
928,373
1244,902
1666,1363
2248,1634
2385,99
1623,834
2270,1270
495,1358
1419,1567
1312,1591
1063,621
1039,473
1435,627
745,743
498,1005
1477,427
