x,y
164,159
175,147
82,187
77,200
63,217
53,197
68,200
62,165
71,152
64,147
45,161
30,158
25,149
51,123
40,113
18,117
8,106
21,94
30,82
38,64
43,72
54,75
65,77
75,89
117,84
53,53
60,56
88,40
70,34
71,25
58,19
35,9
26,21
33,33
15,45
9,36
105,63
119,50
110,50
111,58
152,59
121,29
133,8
150,17
148,24
187,24
203,28
204,66
165,95
176,89
187,91
195,98
185,120
196,107
99,7
92,26
244,11
305,13
316,23
309,42
258,33
233,67
219,85
152,89
142,97
131,105
108,139
117,118
230,128
17,209
3,158
2,138
18,6
277,66
293,72
273,55
253,89
280,94
293,84
299,99
309,117
299,157
310,141
273,145
283,145
233,160
266,176
192,171
196,193
214,199
218,211
232,208
258,204
280,207
297,199
315,189
328,178
346,162
360,160
359,144
342,109
350,73
338,51
85,126
135,207
149,202
149,234
89,236
75,268
47,244
38,221
5,236
12,254
6,281
9,291
16,280
43,300
60,320
45,343
8,317
5,337
5,356
5,369
12,410
12,423
6,466
33,455
35,437
32,419
38,395
52,377
58,407
77,404
78,432
62,455
55,473
73,473
83,461
102,446
114,433
122,444
135,467
106,475
147,443
140,437
156,436
165,452
165,471
184,428
185,410
200,400
216,411
227,396
254,377
239,402
244,419
235,434
239,455
225,468
232,474
275,468
278,430
291,448
291,464
307,448
302,421
315,432
322,445
339,457
361,469
376,476
397,471
442,471
444,426
426,416
412,412
380,418
391,411
383,398
361,401
343,412
331,417
320,406
313,393
315,373
298,389
283,396
290,351
265,404
221,355
203,359
162,362
159,348
139,339
120,354
103,366
83,364
98,345
129,381
91,316
75,293
89,282
102,293
119,255
129,285
134,271
134,304
161,270
164,254
178,294
178,277
193,277
213,270
194,248
194,231
120,207
259,150
247,155
219,330
196,313
219,307
224,295
233,308
246,312
249,330
261,324
281,338
255,350
300,312
307,331
317,354
345,348
331,336
327,323
327,301
270,299
274,276
294,255
288,274
293,291
310,277
308,260
261,250
247,252
259,233
239,235
229,235
223,249
344,269
297,236
316,240
320,221
342,228
349,245
372,240
374,213
345,208
354,198
381,191
399,190
388,176
398,159
374,166
381,143
143,137
366,109
381,107
405,131
413,125
427,117
428,179
429,193
414,218
402,225
391,243
417,239
412,257
416,271
390,278
387,261
397,290
378,309
360,317
365,272
386,328
388,353
403,336
418,366
458,331
435,359
437,341
433,316
439,331
457,313
479,311
501,311
492,292
474,286
474,256
457,257
447,241
465,241
487,224
474,210
455,200
446,171
445,154
478,147
512,177
526,169
539,218
519,230
587,272
601,239
633,246
586,472
617,468
554,283
548,272
523,266
531,249
502,259
566,202
578,194
591,203
602,218
602,176
636,183
632,166
633,119
541,184
544,165
580,170
558,171
570,156
595,151
605,129
584,108
586,74
602,83
615,53
632,39
634,20
603,31
566,43
501,95
501,112
486,106
527,125
521,98
544,115
549,134
497,138
453,132
461,79
465,57
498,43
464,36
490,69
519,41
531,35
510,26
504,13
557,6
573,6
437,84
375,59
393,75
403,63
416,78
430,67
438,20
463,6
367,10
381,15
394,27
379,32
401,7
426,4
426,22
129,400
147,373
421,457
616,268
623,217
497,181
586,139
566,134
531,58
561,78
545,98
561,101
135,361
178,338
229,36
254,62
362,96
259,75
166,36
110,193
32,366
97,385
649,270
656,251
701,252
695,230
682,212
701,204
664,195
669,214
643,183
668,169
682,161
699,156
709,174
734,172
766,187
755,220
878,200
942,176
904,156
959,135
950,119
922,118
868,122
839,121
855,107
833,81
847,72
877,67
915,74
963,70
935,51
949,39
977,40
942,15
852,7
842,44
823,24
824,45
765,64
774,52
785,43
794,22
802,11
910,36
895,51
903,110
921,92
976,113
822,167
833,150
859,163
844,175
818,187
831,215
785,217
793,190
741,152
741,121
754,115
778,96
726,88
754,89
727,62
749,60
739,42
757,26
725,11
700,11
681,52
705,32
682,77
675,92
686,107
698,122
664,115
668,128
645,119
646,91
648,70
646,48
645,19
656,19
658,31
675,28
671,141
656,148
744,248
905,183
662,440
775,436
789,456
775,470
760,457
834,468
859,463
885,448
848,439
846,409
869,388
878,415
899,424
937,423
959,436
980,415
1003,413
1004,376
921,385
851,212
976,474
996,457
927,478
1067,412
1083,392
1084,412
1104,377
1101,360
1173,375
1195,360
1202,377
1225,372
1230,338
1246,331
1276,324
1275,390
1277,433
1250,454
1181,456
1210,440
1188,425
1130,429
1107,415
1078,450
1054,468
1027,428
1033,447
1147,473
1112,471
1211,477
915,432
917,410
758,427
810,429
789,425
891,20
714,476
649,477
1314,131
1312,108
1342,115
1330,91
1345,38
1364,59
1347,7
1365,35
1383,21
1410,26
1402,47
1414,57
1431,61
1441,70
1454,74
1427,94
1388,98
1411,111
1443,109
1456,100
1510,110
1498,93
1484,72
1465,52
1456,40
1444,49
1433,35
1441,9
1470,21
1496,14
1516,32
1504,43
1547,71
1553,108
1584,94
1592,79
1591,54
1559,49
1566,35
1550,25
1564,19
1598,21
1598,8
1652,4
1630,47
1632,71
1625,92
1661,64
1688,34
1670,42
1673,21
1635,27
1655,20
1699,20
1697,8
1722,16
1726,3
1757,8
1774,27
1754,25
1730,35
1757,37
1772,37
1794,52
1805,48
1851,42
1855,25
1869,38
1837,15
1835,3
1881,15
1872,5
1858,6
1914,13
1891,8
1885,52
1875,64
1906,74
1891,77
1855,70
1853,86
1803,87
1830,75
1762,63
1750,57
1723,48
1701,76
1707,94
1684,84
1715,61
1732,80
1758,79
1780,75
1730,101
1287,323
1330,312
1402,302
1386,321
1301,348
1289,370
1299,424
1293,435
1305,442
1329,449
1293,471
1319,467
1356,446
1370,463
1374,439
1357,391
1361,369
1341,352
1368,356
1389,392
1387,414
1420,408
1414,387
1438,376
1414,369
1402,358
1428,346
1474,330
1460,348
1478,359
1461,366
1470,389
1466,412
1479,434
1446,449
1415,470
1486,459
1467,448
1512,435
1501,392
1522,397
1537,383
1556,360
1513,328
1524,292
1561,308
1545,335
1571,329
1601,334
1624,341
1638,334
1609,316
1615,299
1656,307
1673,291
1697,282
1714,281
1698,296
1720,303
1715,318
1646,367
1653,386
1619,365
1599,417
1578,405
1574,431
1542,435
1561,455
1523,473
1541,474
1622,465
1600,459
1663,477
1716,473
1678,453
1670,439
1651,430
1676,407
1693,362
1716,353
1710,397
1726,403
1747,407
1737,419
1750,436
1761,475
1779,475
1770,459
1812,460
1814,445
1835,439
1861,452
1892,470
1909,404
1840,400
1875,403
1862,383
1844,376
1878,377
1898,371
1916,345
1885,353
1854,352
1825,339
1805,337
1815,326
1835,327
1873,328
1871,310
1884,304
1901,297
1914,322
1918,305
1916,288
1894,261
1857,275
1848,300
1832,280
1794,289
1794,275
1776,293
1770,309
1749,342
1771,334
1779,352
1777,368
1784,395
1809,399
1741,373
1752,381
1581,370
1385,72
1348,76
1319,61
1318,33
1385,5
1891,330
1811,273
1907,426
1440,126
1573,68
1580,41
2516,18
2539,33
2523,67
2513,70
2518,49
2490,57
2481,29
2490,4
2463,17
2452,18
2451,28
2428,37
2425,21
2406,26
2411,13
2414,55
2400,54
2374,39
2381,30
2364,13
2330,25
2345,47
2329,40
2317,50
2314,30
2290,6
2293,27
2287,38
2275,31
2269,50
2246,26
2252,17
2227,10
2238,15
2216,22
2229,32
2200,36
2198,17
2175,23
2158,39
2160,53
2182,52
2148,19
2136,31
2144,6
2099,7
2169,6
2026,7
2010,16
1979,13
1945,19
1960,33
1935,44
1948,40
1963,82
1945,63
1997,58
1987,43
2007,40
2014,29
2025,20
2037,29
2047,25
2057,49
2078,48
2092,42
2112,47
2124,50
2132,60
2096,77
2096,91
2110,111
2095,118
2072,122
2057,122
2031,100
2053,95
2037,85
2035,69
2072,77
2120,82
2144,97
2148,81
2179,111
2195,102
2180,92
2163,82
2209,91
2226,111
2222,81
2227,94
2259,78
2247,57
2231,59
2282,80
2300,77
2311,100
2329,116
2343,124
2349,105
2334,92
2332,73
2367,91
2381,118
2384,136
2380,157
2390,118
2402,93
2385,87
2367,67
2389,68
2402,70
2411,70
2423,75
2442,70
2447,85
2444,107
2462,109
2456,109
2479,82
2474,104
2498,105
2509,92
2515,102
2543,110
2555,129
2529,130
2514,128
2522,155
2533,166
2540,186
2532,235
2527,213
2505,218
2508,196
2488,169
2487,143
2472,147
2454,151
2421,129
2418,110
2339,157
2157,145
2142,160
2184,151
2198,136
2214,123
2203,178
2203,149
2218,170
2211,166
2220,154
2231,163
2248,156
2260,175
2258,187
2266,133
2247,124
2279,128
2285,118
2288,105
2299,170
2311,158
2284,163
2226,212
2193,269
1926,92
1941,104
1924,115
1927,129
1935,139
1943,155
1948,143
1960,129
1983,135
1975,124
2029,134
2046,136
2037,143
2078,147
2074,183
2091,192
2088,171
2096,151
2101,168
2108,166
2122,160
2112,193
2131,184
2142,178
2162,187
2149,201
2189,199
2161,223
2171,229
2172,199
2274,194
2203,233
2199,217
2183,214
2237,235
2247,228
2261,228
2270,252
2285,233
2294,213
2307,206
2322,205
2316,236
2320,262
2326,280
2338,264
2341,249
2343,232
2359,240
2410,220
2381,215
2339,185
2367,197
2357,187
2368,167
2376,188
2395,190
2402,174
2408,191
2424,198
2417,175
2446,170
2449,227
2459,213
2469,213
2463,202
2469,272
2454,280
2474,284
2498,283
2509,290
2508,254
2518,265
2538,279
2551,280
2534,295
2545,311
2552,306
2533,339
2539,324
2555,351
2558,388
2557,422
2548,474
2440,468
2462,465
2473,467
2491,451
2510,440
2498,428
2521,399
2528,391
2497,399
2486,361
2502,333
2500,360
2520,358
2482,339
2485,330
2479,305
2512,308
2452,298
2452,316
2464,331
2438,337
2427,327
2417,311
2422,297
2433,283
2471,231
1959,194
1967,205
1998,184
1989,167
2039,193
2042,223
2014,238
2007,211
1982,232
1975,243
1940,242
1959,249
1925,290
1959,309
1977,314
1990,299
2009,290
1998,277
1985,279
1976,284
1949,286
1979,261
1987,339
1937,360
1931,408
1940,398
1943,377
1965,399
1971,419
1973,434
1979,453
1950,469
1967,471
1946,433
2000,414
2002,391
2043,406
2033,426
2029,441
2049,449
2056,432
2077,450
2077,473
2159,452
2179,450
2143,470
2122,438
2100,419
2092,407
2088,388
2105,397
2105,374
2124,367
2142,374
2181,384
2156,421
2214,413
2213,450
2248,456
2222,470
2229,447
2250,420
2264,423
2255,407
2236,396
2217,379
2194,342
2190,326
2220,326
2240,345
2240,314
2208,309
2174,305
2130,287
2118,275
2131,271
2134,244
2153,247
2157,266
2083,287
2075,307
2100,319
2117,321
2114,351
2137,342
2156,350
2152,332
2073,344
2061,362
2034,363
2050,344
2060,332
2033,328
1997,362
1972,378
1964,354
1973,330
2078,255
2083,274
2065,277
2062,240
2084,218
2081,237
2265,281
2232,281
2271,266
2295,272
2309,283
2293,289
2310,305
2321,300
2351,307
2355,277
2371,292
2376,284
2382,270
2390,256
2402,254
2411,251
2424,245
2363,353
2363,339
2375,317
2395,315
2402,338
2415,344
2413,363
2416,375
2408,381
2402,410
2392,431
2360,458
2377,474
2416,438
2425,420
2426,406
2447,380
2430,379
2460,368
2442,434
2447,424
2456,416
2448,407
2469,405
2483,424
2463,445
2512,399
2326,417
2362,416
2372,406
2384,402
2388,379
2276,409
2247,383
2253,370
2272,358
2276,345
2265,315
2269,329
2282,307
2295,312
2315,356
2311,394
2322,389
2273,453
2289,447
2272,470
2295,471
2321,466
2309,455
2327,449
2344,442
2492,217
2558,213
2558,261
2215,264
2190,359
2252,310
2252,293
2251,279
2320,167
2013,167
2030,169
2025,151
1990,82
1994,101
2021,83
2011,104
2013,124
1940,195
2004,457
